,post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
0,495,AAZQ11,0.12,1.31,1.3033,3.91,1.3033,7.82,1.3133,15.76,-2.139,4.5324,-0.8571,9.15,3.91,2024.0,1.25,9.6,0.0,230857797.15,0.0,0.0,3.7409,1.247,7.4939,1.249,11.7553,1.4694,Indefinido,indefinido,9.24,835389.93,230857797.15,0.9615,0.9625,AAZQ11,,13.407958417595,27598,,,
1,238,ABCP11,0.5,0.62,0.8767,2.63,0.875,5.25,0.7975,9.57,6.3373,19.2957,6.9966,80.71,2.63,2024.0,0.8094,101.31,10.3354,477089865.14,19.1438,11.2285,2.0913,0.6971,4.0511,0.6752,7.3189,0.6099,Shoppings,shoppings,77.75,76312.43,477089865.14,0.764,0.767446451485539,ABCP11,1,15.357551189951,16988,,,
2,177,AFHI11,0.95,0.97,0.9767,2.93,1.015,6.09,1.0658,12.79,-0.5055,3.9836,0.4596,98.41,2.93,2024.0,0.9835,96.59,1.7058,386055547.13,9.1458,2.7061,3.0584,1.0195,6.2629,1.0438,13.0622,1.0885,Papéis,papeis,97.91,1345807.98,386055547.13,1.0119,1.01366601097422,AFHI11,0,8.121978869132,31221,,,
3,553,AGRX11,0.12,1.12,1.2667,3.8,1.3267,7.96,1.38,16.56,-0.1866,1.2922,0.9313,10.7,3.8,2024.0,,,,,,,,,,,,,Outros,outros,10.51,452685.25,0.0,0.0,,AGRX11,0,13.568291644172,0,,,
4,56,AIEC11,0.71,1.41,1.35,4.05,1.32,7.92,1.2442,14.93,-9.7846,-6.5937,-8.5125,50.25,4.05,2024.0,0.2024,83.99,-10.1807,405272651.5,-8.9588,-9.9989,3.3875,1.1292,5.8086,0.9681,10.6844,0.8904,Lajes Corporativas,lajes-corporativas,52.65,685229.05,405272651.5,0.6203,0.626860340516728,AIEC11,4,16.926822619496,1,,,
5,2722,AJFI11,0.08,0.81,0.82,1.64,0.82,1.64,0.82,1.64,-0.7071,0.0972,0.0972,9.83,1.64,2024.0,,,,,,,,,,,,,Shoppings,shoppings,9.89,1299898.05,394131222.07,0.7849,,AJFI11,,14.213894280716,11173,,,
6,216,ALMI11,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2017.0,0.0,2046.7799,-0.0517,214297860.7,0.8982,-0.0517,0.0,0.0,0.0,0.0,0.0,0.0,Lajes Corporativas,lajes-corporativas,656.0,71249.18,240187303.24,0.3037,0.320503440550691,ALMI11,1,35.023858670257,2209,,,
7,556,ALZM11,0.085,0.98,1.0767,3.23,1.0283,6.17,0.9625,11.55,-0.9143,3.8637,0.0568,8.67,3.23,2024.0,1.0601,8.49,-90.8266,128894672.43,-90.3433,-90.7293,3.612,1.204,5.9779,0.9963,11.3594,0.9466,Fundo de Fundos,fundo-de-fundos,8.37,164751.98,128894672.43,0.9929,0.9858657243816251,ALZM11,0,17.245299198066,9254,,,
8,366,ALZR11,0.7976,0.68,0.6733,2.02,0.6917,4.15,0.7025,8.43,-0.3039,2.642,0.374,118.1,2.02,2024.0,0.7505,106.28,-0.5707,1047943303.45,8.1902,0.1755,2.2575,0.7525,4.5783,0.763,9.2108,0.7676,Misto,misto,117.97,1588627.93,1047943303.45,1.0999,1.109992472713586,ALZR11,14,10.771445507719,147616,,,
9,283,APTO11,0.09,0.94,0.9267,2.78,0.94,5.64,1.03,12.36,-2.6531,0.902,-1.738,9.54,2.78,2024.0,0.8841,10.18,2.2088,46958948.53,17.7352,3.1124,2.6333,0.8778,5.3434,0.8906,11.5238,0.9603,Imóveis Residenciais,imoveis-residenciais,9.7,33222.1,46958948.53,0.9607,0.9528487229862471,APTO11,4,16.419617254075,10057,,,
10,2784,APXM11,0.9183,0.0,0.38,1.14,0.4333,2.6,0.4983,2.99,0.0,,0.0,,1.14,2024.0,,,,,,,,,,,,,Shoppings,shoppings,99.99,10233.93,170725350.75,1.0309,,APXM11,1,51.865705105429,399,,,
11,398,ARCT11,0.5,0.0,0.433,1.2989,0.6359,3.8155,1.0462,12.5547,0.0,,0.0,,0.0,2023.0,0.7628,99.77,0.0401,369956160.07,6.3085,0.8032,2.312,0.7707,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,87.13,1053903.45,371534654.03,0.8696,0.8733086098025451,ARCT11,9,15.634888213165,43228,,,
